,description,link,location,phone,service_name,va_facility
0,"When there is uncertainty or conflict about the right thing to do, ethics consultants work with patients, families and staff to help them to resolve these concerns.",/services/Ethics_Consultation.asp,Alaska VA Healthcare System,907-257-7464,Ethics Consultation Service,www.alaska
1,"The mental health service provides consultation, evaluation, and treatment for a variety of issues that can impact emotional well-being.",/services/mentalhealth.asp,Alaska VA Healthcare System,907-257-4700,Mental Health,www.alaska
2,,/services/Patient_Representative_Anchorage.asp,Anchorage,907-257-5449,Patient Representative - Anchorage,www.alaska
3,"The Alaska VA Healthcare System pharmacy processes nearly 1,000 prescriptions daily.",/services/pharmacy.asp,Outpatient Pharmacy,877-750-4790 Ext. Refill _ Renew  907-257-4805 Ext. Pharmacy Dep,Pharmacy,www.alaska
4,The Alaska VA Healthcare System has expanded health care access to rural areas including 229 Tribes.,/services/Rural_Health.asp,"1201 North Muldoon Road, Anchorage",970-257-5460,Rural Health,www.alaska
5,Volunteers provide many important functions throughout the VA Clinic and help make the Veteran visit more enjoyable.,/services/Voluntary_Service_Office.asp,Alaska VA Healthcare System,907-257-4839,Voluntary Service Office,www.alaska
6,Adult Day Health Care provides for general health care and social needs of Veteran patients,/services/Adult_Day_Health_Care.asp,7C,518-626-6041  518-626-6020,Adult Day Health Care,www.albany
7,The Agent Orange Registry health exam screens Veterans for possible long-term health problems that may be related to Agent Orange exposure during their military service.,/services/Agent_Orange_Registry_Exams.asp,A1105b,518-626-6718  518-626-6719,Agent Orange Registry Exams,www.albany
8,Alzheimers and dementia care help diagnose and manage these diseases which affect the brain.,/services/Alzheimer_s_Disease_and_Dementia_Care.asp,7C,518-626-6051  518-626-6047,Alzheimers Disease and Dementia Care,www.albany
9,Anesthesiology provides a range of anesthesiology support and consultation services for surgical services and surgical procedures.,/services/Anesthesiology.asp,7A,518-626-6598,Anesthesiology,www.albany
10,Audiology professionals evaluate and treat hearing. Speech pathology professionals evaluate and treat disorders in speech.,/services/Audiology_Speech_Pathology.asp,5A,518-626-5820,Audiology & Speech Pathology,www.albany
11,"The Oncology Service employs the latest technologies, skilled medical professionals to care for the body, mind and total well-being of patients diagnosed with cancer.",/services/Cancer_Care_Oncology.asp,7A,518-626-6415,Cancer Care / Oncology,www.albany
12,Cardiology provides a broad range of tertiary cardiac services.,/services/Cardiology.asp,A830,518-626-6463,Cardiology,www.albany
13,VA Chaplains support patients and families by providing spiritual guidance.,/services/Chaplain.asp,1104 Core,518-626-5751,Chaplain,www.albany
14,Albany Stratton VA Medical Center offers chiropractic care that treats the body as a whole.,/services/Chiropractic_Care.asp,Albany Stratton VA Medical Center,518-626-5000,Chiropractic Care,www.albany
15,"Community Living Center care strives to restore the resident to maximum function, prevent further decline and maximize independence.",/services/Community_Living_Centers_and_Nursing_Home.asp,"Community Living Center 9B Heroes Way and 9C Victory Lane,Community Nursing Home Care 8A",518-626-6101  518-626-6061,Community Living Center and Community Nursing Home,www.albany
16,Albany Stratton VA Medical Center administers compensation and pension exams for Veterans who have claims with the Veterans Benefits Administration,/services/Compensation_and_Pension_Exams.asp,A1105b,518-626-6718,Compensation and Pension Exams,www.albany
17,VA Health Care Upstate New York offers diabetes screenings and resources for all Veterans to help manage diabetes or prediabetes.,/services/Diabetes.asp,7A,518-626-6415,Diabetes,www.albany
18,The dialysis service at Albany Stratton VA Medical Center provides care to Veterans with compromised kidney function.,/services/Dialysis.asp,2D,518-626-6509,Dialysis,www.albany
19,Albany Stratton VA Medical Center delivers eye and vision care in several specialties.,/services/Eye_and_Vision_Care.asp,5C,518-626-5850,Eye and Vision Care,www.albany
20,The Fee Basis VA program allows Veterans to be seen by a community provider.,/services/Fee_Basis_Fee_Service.asp,Albany VA main campus,800-396-7929,Fee Basis/Fee Service,www.albany
21,"Womens health services, including obstetrics and gynecology, are provided through the Womens Wellness Center.",/services/Obstetrics_and_Gynecology.asp,8D,518-626-5968,Gynecology Womens Health,www.albany
22,"Albany Stratton VA Medical Center can provide medications, treatments and support to help Veterans manage HIV and live a full life.",/services/HIV_and_AIDS_Treatment.asp,7A,518-626-6415,HIV and AIDS Treatment,www.albany
23,"Home based primary care is a group effort between the Veteran, family, caregiver and VA",/services/Home_Based_Primary_Care.asp,8A,518-626-6006  518-626-6002,Home Based Primary Care,www.albany
24,"To explore the possibility of using in home telehealth to coordinate health care, contact our office or speak with a primary care provider about the service.",/services/Home_Telehealth.asp,7C,518-626-6001  518-626-6047,Home Telehealth,www.albany
25,"Through the Homemaker and Home Health Aide Program, VA pays for homemaker and home health aide assistance for Veterans.",/services/Homemaker_and_Home_Health_Aide_Program.asp,8A,518-626-6061  518-626-6010,Homemaker and Home Health Aide Program,www.albany
26,"For patients who are facing serious medical conditions, Albany Stratton VA Medical Center offers palliative and hospice care to ease the physical and emotional symptoms.",/services/Hospice_and_Palliative_Care.asp,7C,518-626-6090  518-626-6008,Hospice and Palliative Care,www.albany
27,The Laboratory and Pathology services at Albany Stratton VA Medical Center provide a full range of diagnostic services.,/services/Lab_and_Pathology_Services.asp,2B,518-626-5765  518-626-5750,Lab and Pathology Services,www.albany
28,VAs MOVE weight management program encourages Veterans to lose weight and live healthier.,/services/MOVE_Weight_Management_Program.asp,B311a,518-626-6871  877-619-0106 Ext. option 1,MOVE! Weight Management Program,www.albany
29,"To screen for breast cancer, Albany Stratton VA Medical Center provides free mammograms for all enrolled women Veterans",/services/Mammography.asp,2A,518-626-6350,Mammography,www.albany
30,Albany Stratton VA Medical Center operates a full service inpatient and outpatient pharmacy to meet the medication needs of the Veterans we serve.,/services/pharmacy.asp,Albany VA main campus lobby,800-585-9772,Medications,www.albany
31,The Behavioral Health Care Line at Albany Stratton VA Medical Center serves Veterans in inpatient and outpatient settings to help them achieve a full and fulfilling life.,/services/Mental_Health.asp,1012 Core,518-626-5343,Mental Health,www.albany
32,"To help Veterans recover from military sexual trauma, VA provides  counseling and treatment for mental and physical health related to experiences of MST.",/services/Military_Sexual_Trauma_Counseling.asp,10D,518-626-5372,Military Sexual Trauma Counseling,www.albany
33,"Albany Stratton VA Medical Center offers comprehensive nutrition services, including nutrition assessment and diet instruction.",/services/Nutrition_and_Food_Services.asp,402B,518-626-6871,Nutrition and Food Services,www.albany
34,VA is here to deliver the benefits you have earned and help you make the transition back to civilian life.,/services/OEF_OIF_OND_Veterans_Point_of_Contact.asp,Albany VA main campus 10D,518-626-6962,OEF  OIF  OND Veterans Point of Contact,www.albany
35,"The purpose of physical and occupational therapy is to help Veterans return to a full life after an injury, surgery or disability.",/services/Occupational_Therapy_and_Physical_Medicine.asp,3D,518-626-5800,Occupational Therapy and Physical Medicine,www.albany
36,Ophthalmology Service provides comprehensive eye and vision care.,/services/Ophthalmology.asp,5C,518-626-5850,Ophthalmology,www.albany
37,Pain Management  is a specialty program works in collaboration with primary care to ensure efficient and effective management of chronic pain.,/services/Pain_Management.asp,5 Core,518-626-5000,Pain Management,www.albany
38,Podiatric Surgery provides total foot and ankle care to Veterans.,/services/Podiatry.asp,Albany VA main campus 5D,518-626-6530,Podiatry,www.albany
39,VA Polytrauma System of Care provides high quality interdisciplinary care to patients.,/services/Polytrauma_Program.asp,Albany VA main campus B309,518-626-5366,Polytrauma Program,www.albany
40,The behavioral health care staff is here to help Veterans and their families manage and overcome the symptoms of posttraumatic stress disorder.,/services/Posttraumatic_Stress_Disorder_PTSD.asp,Albany VA main campus 10D,518-626-5436,Posttraumatic Stress Disorder (PTSD),www.albany
41,Primary care provides comprehensive diagnostic and treatment services for a wide variety of illness and injury.,/services/Primary_Care.asp,"Blue Team, 1CRed Team, 4C",518-626-6500  518-626-6330,Primary Care,www.albany
